Lp.;NieruchomoúÊ;Numer;Zmiana od;Liczba mieszkaÒcÛw;Stawka
1485;63-300 PLESZEW, Lenartowice, Parkowa 47A;;2019.02.01;4;156
1486;63-300 PLESZEW, Lenartowice, Parkowa 48;1200/2021;2021.07.01;3;117
1487;63-300 Pleszew, Lenartowice, Parkowa 50;959/2023;2023.07.01;4;156
1488;63-300 PLESZEW, Lenartowice, Parkowa 50A;;2020.04.01;4;156
1489;63-300 PLESZEW, Lenartowice, Parkowa 50C;404/2021;2021.03.01;4;156
1490;63-300 PLESZEW, Lenartowice, Parkowa 51A;;2020.03.01;4;156
1491;63-300 PLESZEW, Lenartowice, Parkowa 51B;940/2025;2025.02.01;4;156
1492;63-300 PLESZEW, Lenartowice, Parkowa 52;;2019.03.01;3;117
1493;63-300 PLESZEW, Lenartowice, Wrzosowa 1;1713/2022;2022.06.01;5;195
1494;63-300 PLESZEW, Lenartowice, Wrzosowa 2;528/2024;2024.05.01;4;156
1495;63-300 PLESZEW, Lenartowice, Wrzosowa 3;;2019.02.01;4;156
1496;63-300 PLESZEW, Lenartowice, Wrzosowa 4;1746/2025;2025.09.01;1;39
1497;63-300 PLESZEW, Lenartowice, Wrzosowa 5;3722/2020;2020.12.01;2;78
1498;63-300 PLESZEW, Lenartowice, Wrzosowa 6;285/2023;2023.02.01;2;78
1499;63-300 PLESZEW, Lenartowice, Wrzosowa 7;;2019.02.01;2;78
1500;63-300 Pleszew, Lenartowice, Wrzosowa 8;;2019.02.01;1;39
1501;63-300 PLESZEW, Lenartowice, Wrzosowa 9;;2020.01.01;2;78
1502;63-300 PLESZEW, Lenartowice, Wrzosowa 14;1166/2025;2025.03.01;3;117
1503;63-300 PLESZEW, Lenartowice, Wrzosowa 16;1621/2022;2022.11.01;1;39
1504;63-300 PLESZEW, Lenartowice, Wrzosowa 19;;2019.02.01;4;156
1505;63-300 PLESZEW, Lenartowice, Wrzosowa 21;1272/2025;2025.05.01;2;78
1506;63-300 PLESZEW, Lenartowice, Wrzosowa 26;;2019.04.01;4;156
1507;63-300 Pleszew, Lenartowice, Wrzosowa 37;;2019.02.01;2;78
1508;63-300 Pleszew, Lenartowice, Wrzosowa 41;;2019.02.01;3;117
1509;63-300 PLESZEW, Lenartowice, Wrzosowa nr dzia≥ki 159/25;705/2021;2021.05.01;2;78
1510;63-300 Pleszew, Lubomierz 1;2811/2020;2020.09.01;5;190
1511;63-300 PLESZEW, Lubomierz 1B;1075/2024;2024.09.01;3;117
1512;63-300 PLESZEW, Lubomierz 2;;2020.01.01;2;78
1513;63-300 PLESZEW, Lubomierz 4;;2020.01.01;4;156
1514;63-300 Pleszew, Lubomierz 5;975/2023;2023.07.01;4;156
1515;63-300 PLESZEW, Lubomierz 6;17/2025;2025.01.01;6;234
1516;63-300 PLESZEW, Lubomierz 9;1788/2020;2020.07.01;6;228
1517;63-300 PLESZEW, Lubomierz 10;189/2025;2025.01.01;2;78
1518;63-300 PLESZEW, Lubomierz 11;2812/2020;2020.09.01;5;190
1519;63-300 PLESZEW, Lubomierz 12;1129/2023;2023.07.01;4;156
1520;63-300 PLESZEW, Lubomierz 13;;2019.02.01;1;39
1521;63-300 PLESZEW, Lubomierz 13A;889/2023;2023.07.01;2;78
1522;63-300 Pleszew, Lubomierz 13B;;2019.02.01;4;156
1523;63-300 PLESZEW, Lubomierz 14;1361/2023;2023.10.01;1;39
1524;63-300 Pleszew, Lubomierz 14A;825/2022;2022.06.01;3;117
1525;63-300 PLESZEW, Lubomierz 14B;1643/2025;2025.08.01;3;117
1526;63-300 PLESZEW, Lubomierz 14C;3681/2020;2020.11.01;4;152
1527;63-300 PLESZEW, Lubomierz 15;867/2022;2022.06.01;1;39
1528;63-300 Pleszew, Lubomierz 16;301/2023;2023.02.01;4;152
1529;63-300 PLESZEW, Lubomierz 17;3694/2020;2020.12.01;2;76
1530;63-300 Pleszew, Lubomierz 18;190/2023;2023.01.01;6;228
1531;63-300 PLESZEW, Lubomierz 19;;2019.09.01;2;78
1532;63-300 Pleszew, Lubomierz 19A;;2019.02.01;4;156
1533;63-300 Pleszew, Lubomierz 20;1178/2024;2024.10.01;8;304
1534;63-300 PLESZEW, Lubomierz 21;2791/2020;2020.09.01;4;152
1535;63-300 Pleszew, Lubomierz 21A;2373/2020;2020.08.01;2;76
1536;63-300 PLESZEW, Lubomierz 21B;16/2024;2024.01.01;3;114
1537;63-300 PLESZEW, Lubomierz 22;2035/2020;2020.08.01;2;76
1538;63-300 PLESZEW, Lubomierz 23;163/2021;2021.01.01;1;38
1539;63-300 Pleszew, Lubomierz 24;;2019.02.01;6;234
1540;63-300 PLESZEW, Lubomierz 25;745/2024;2024.06.01;1;38
1541;63-300 PLESZEW, Lubomierz 26;;2019.02.01;1;39
1542;63-300 PLESZEW, Lubomierz 27;619/2021;2021.03.01;7;266
1543;63-300 PLESZEW, Lubomierz 28;;2019.02.01;2;78
1544;63-300 PLESZEW, Lubomierz 28;837/2024;2024.06.01;9;342
1545;63-300 PLESZEW, Lubomierz 28A;528/2022;2022.03.01;5;190
1546;63-300 PLESZEW, Lubomierz 28B;527/2022;2022.03.01;2;76
1547;63-300 PLESZEW, Ludwina 1;;2019.02.01;1;39
1548;63-300 Pleszew, Ludwina 2;;2019.02.01;1;39
1549;63-300 PLESZEW, Ludwina 2A;1194/2024;2024.10.01;3;117
1550;63-300 PLESZEW, Ludwina 3A;1439/2021;2021.09.01;4;156
1551;63-300 PLESZEW, Ludwina 4;407/2022;2022.02.01;4;152
1552;63-300 PLESZEW, Ludwina 4B;;2020.01.01;1;39
1553;63-300 PLESZEW, Ludwina 4D;;2020.01.01;3;117
1554;63-300 PLESZEW, Ludwina 5;403/2022;2022.03.01;6;228
1555;63-300 PLESZEW, Ludwina 5A;1730/2025;2025.09.01;6;228
1556;63-300 PLESZEW, Ludwina 6;1777/2025;2025.09.01;2;76
1557;63-300 PLESZEW, Ludwina 6A;1776/2025;2025.09.01;4;156
1558;63-300 PLESZEW, Ludwina 7;;2019.02.01;3;117
1559;63-300 PLESZEW, Ludwina 8;3241a/2020;2020.10.01;2;76
1560;63-300 PLESZEW, Ludwina 8A;1869/2025;2025.09.01;2;78
1561;63-300 Pleszew, Ludwina 8B;284/2023;2023.01.01;5;190
1562;63-300 PLESZEW, Ludwina 8D;1154/2021;2021.07.01;4;152
1563;63-300 PLESZEW, Ludwina 9;1370/2022;2022.09.01;4;152
1564;63-300 Pleszew, Ludwina 9B;;2019.02.01;4;156
1565;63-300 Pleszew, Ludwina 10;;2019.02.01;1;39
1566;63-300 Pleszew, Ludwina 11;;2019.02.01;5;195
1567;63-300 Pleszew, Ludwina 12;01/2022;2022.01.01;4;156
1568;63-300 PLESZEW, Ludwina 14;1513/2024;2024.12.01;5;190
1569;63-300 PLESZEW, Ludwina 15;;2019.02.01;2;78
1570;63-300 PLESZEW, Ludwina 15A;;2019.02.01;2;78
1571;63-300 Pleszew, Ludwina 16;;2019.02.01;5;195
1572;63-300 PLESZEW, Ludwina 18;3799/2020;2020.12.01;3;114
1573;63-300 PLESZEW, Ludwina 18A;;2019.02.01;3;117
1574;63-300 Pleszew, Ludwina 19;;2020.03.01;4;156
1575;63-300 PLESZEW, Ludwina 19A;1177/2024;2024.10.01;2;76
1576;63-300 PLESZEW, Ludwina 20;1696/2025;2025.04.01;4;152
1577;63-300 Pleszew, Ludwina 20A;;2019.02.01;4;156
1578;63-300 Pleszew, Ludwina 20C;322/2022;2022.02.01;2;78
1579;63-300 PLESZEW, Ludwina 21;1937/2020;2002.08.01;2;76
1580;63-300 PLESZEW, Ludwina 21A;;2019.02.01;1;39
1581;63-300 PLESZEW, Ludwina 21b;3205/2020;2020.10.01;1;39
1582;63-300 PLESZEW, Ludwina 21C;162/2025;2025.01.01;3;117
1583;63-300 Pleszew, Ludwina 22;1756/2022;2022.12.01;7;273
1584;63-300 PLESZEW, Ludwina 22A;297/2023;2023.01.01;2;78
1585;63-300 PLESZEW, Ludwina 23;1559/2022;2022.10.01;2;76
1586;63-300 PLESZEW, Ludwina 23A;309/2023;2023.02.01;5;190
1587;63-300 PLESZEW, Ludwina 23B;1322/2025;2025.06.01;4;156
1588;63-300 Pleszew, Ludwina 25;2088/2025;2025.09.01;4;156
1589;63-300 Pleszew, Ludwina 26;341/2021;2021.03.01;3;117
1590;63-300 Pleszew, Ludwina 27;173/2026;2026.01.01;2;78
1591;63-300 PLESZEW, Ludwina 27D;1750/2022;2022.12.01;4;156
1592;63-300 PLESZEW, Ludwina 28;43/2026;2026.01.01;7;273
1593;63-300 PLESZEW, Ludwina 28A;;2019.02.01;3;117
1594;63-300 PLESZEW, Ludwina 29A;1147/2021;2021.07.01;2;76
1595;63-300 PLESZEW, Ludwina 30A;;2019.02.01;3;117
1596;63-300 PLESZEW, Ludwina 30B;159/2024;2024.02.01;4;152
1597;63-300 PLESZEW, Ludwina 31A;;2019.02.01;3;117
1598;63-300 PLESZEW, Ludwina 32;927/2021;2021.06.01;2;78
1599;63-300 PLESZEW, Ludwina 33;576/2022;2022.04.01;3;117
1600;63-300 PLESZEW, Ludwina 36;262/2024;2024.03.01;6;228
1601;63-300 PLESZEW, Ludwina 36A;1375/2025;2025.06.01;4;156
1602;63-300 PLESZEW, Ludwina 37A;;2020.01.01;5;195
1603;63-300 Pleszew, Ludwina 40;1743/2021;2021.11.01;5;195
1604;63-300 PLESZEW, Ludwina, Mi≥a 1;1359/2023;2023.10.01;3;117
1605;63-300 PLESZEW, Ludwina, Mi≥a 3;1333/2025;2025.06.01;4;156
1606;63-300 PLESZEW, Ludwina, Mi≥a 4;6312/2020;2020.12.01;3;117
1607;63-300 PLESZEW, Ludwina, Mi≥a 5;1703/2023;2024.01.01;3;117
1608;63-300 PLESZEW, Ludwina, Mi≥a 8;3750/2020;2020.12.01;3;117
1609;63-300 PLESZEW, Ludwina, Mi≥a 10;853/2024;2024.07.01;3;117
1610;63-300 Pleszew, £aszew 1/2;99/2023;2023.01.01;1;39
1611;63-300 Pleszew, £aszew 3;1100/2025;2025.04.01;3;117
1612;63-300 PLESZEW, £aszew 3a;1648/2025;2025.09.01;4;156
1613;63-300 Pleszew, £aszew 4;;2019.02.01;5;195
1614;63-300 PLESZEW, £aszew 5;1929/2021;2022.01.01;1;38
1615;63-300 PLESZEW, £aszew 5A;;2019.02.01;4;156
1616;63-300 PLESZEW, £aszew 6;738/2023;2023.05.01;2;76
1617;63-300 PLESZEW, £aszew 6d;666/2025;2025.01.01;6;234
1618;63-300 Pleszew, £aszew 7;;2019.02.01;3;117
1619;63-300 PLESZEW, £aszew 8;1877/2025;2025.09.01;5;195
1620;63-300 PLESZEW, £aszew 9;3757/2020;2021.01.01;2;78
1621;63-300 PLESZEW, £aszew 9A;;2019.02.01;4;156
1622;63-300 Pleszew, £aszew 10;785/2023;2023.06.01;1;39
1623;63-300 PLESZEW, £aszew 10A;916/2023;2023.06.01;4;152
1624;63-300 Pleszew, £aszew 10B;;2019.02.01;4;156
1625;63-300 PLESZEW, £aszew 10C;38/2021;2021.01.01;2;76
1626;63-300 PLESZEW, £aszew 11;635/2021;2021.04.01;1;39
1627;63-300 PLESZEW, £aszew 11A;827/2022;2022.06.01;2;78
1628;63-300 PLESZEW, £aszew 12A;3479/2020;2020.12.01;2;78
1629;63-300 PLESZEW, £aszew 13;1013/2021;2021.06.01;4;152
1630;63-300 PLESZEW, £aszew 13A;1047/2021;2021.07.01;2;76
1631;63-300 PLESZEW, £aszew 13B;463/2021;2021.03.01;7;266
1632;63-300 Pleszew, £aszew 13C;1840/2021;2021.12.01;2;76
1633;63-300 PLESZEW, £aszew 14A;;2019.10.01;4;156
1634;63-300 PLESZEW, £aszew 14b;179/2021;2021.01.01;4;156
1635;63-300 Pleszew, £aszew 15;;2020.01.01;3;117
1636;63-300 PLESZEW, £aszew 15A;2386/2020;2020.08.01;4;152
1637;63-300 PLESZEW, £aszew 16;267/2023;2023.02.01;6;228
1638;63-300 PLESZEW, £aszew 17;1057/2023;2023.07.01;3;117
1639;63-300 PLESZEW, £aszew 18;;2019.09.01;3;117
1640;63-300 Pleszew, £aszew 19;959/2021;2021.06.01;5;190
1641;63-300 PLESZEW, £aszew 20;741/2024;2024.06.01;4;152
1642;63-300 PLESZEW, Marszew 1-16;2220/2025;2025.12.01;85;3315
1643;63-300 PLESZEW, Marszew 4;1972/2022;2023.01.01;5;190
1644;63-300 Pleszew, Marszew 4A;1689/2020;2020.08.01;4;152
1645;63-300 PLESZEW, Marszew 4B;3785/2020;2020.12.01;1;39
1646;63-300 PLESZEW, Marszew 4C;;2019.02.01;3;117
1647;63-300 PLESZEW, Marszew 5;294/2021;2021.02.01;4;156
1648;63-300 Pleszew, Marszew 10;475/2023;2023.03.01;10;390
1649;63-300 PLESZEW, Marszew 11;611/2022;2022.05.01;4;156
1650;63-300 Pleszew, Marszew 12;378/2024;2024.03.01;4;156
1651;63-300 Pleszew, Marszew 14;1558/2021;2020.10.01;10;390
1652;63-300 Pleszew, Marszew 14A;1460/2025;2025.05.01;29;1131
1653;63-300 Pleszew, Marszew 17 B;;2019.02.01;4;156
1654;63-300 PLESZEW, Marszew 17A;1152/2022;2022.09.01;3;117
1655;63-300 PLESZEW, Marszew 17c;1704/2023;2023.12.01;2;76
1656;63-300 PLESZEW, Marszew 18-21D;2083/2025;2025.11.01;108;4212
1657;63-300 PLESZEW, Marszew 18B;1610/2022;2022.11.01;4;156
1658;63-300 PLESZEW, Marszew 18E;;2020.01.01;4;156
1659;63-300 Pleszew, Marszew 22;;2019.02.01;3;117
1660;63-300 Pleszew, Marszew 23;1002/2025;2025.03.01;8;312
1661;63-300 PLESZEW, Marszew 24/1;440/2021;2020.12.01;1;39
1662;63-300 Pleszew, Marszew 24A;311/2024;2024.03.01;11;429
1663;63-300 Pleszew, Marszew 26;834/2024;2024.07.01;11;429
1664;63-300 Pleszew, Marszew 27;3089/2020;2020.10.01;15;585
1665;63-300 PLESZEW, Marszew 28;565/2024;2024.04.01;6;228
1666;63-300 PLESZEW, Marszew 29;313/2024;2024.02.01;1;38
1667;63-300 PLESZEW, Marszew 30;708/2021;2020.12.01;8;312
1668;63-300 PLESZEW, Marszew 31;26/2021;2021.01.01;4;152
1669;63-300 Pleszew, Marszew 32;571/2022;2022.04.01;4;152
1670;63-300 PLESZEW, Marszew 61;1840/2022;2023.01.01;1;39
1671;63-300 Pleszew, Marszew 63;265/2023;2023.02.01;2;76
1672;63-300 Pleszew, Marszew 65;774/2024;2024.03.01;2;78
1673;63-300 PLESZEW, Marszew, Akacjowa 20;;2019.02.01;1;39
1674;63-300 Pleszew, Marszew, Akacjowa 22;1135/2021;2021.06.01;4;156
1675;63-300 PLESZEW, Marszew, Akacjowa 24;722/2024;2024.07.01;1;39
1676;63-300 PLESZEW, Marszew, Akacjowa 26;305/2023;2023.02.01;2;78
1677;63-300 PLESZEW, Marszew, Akacjowa 32;1121/2023;2023.08.01;2;78
1678;63-300 PLESZEW, Marszew, AKACJOWA 46;1178/2023;2023.09.01;4;156
1679;63-300 PLESZEW, Marszew, Cedrowa 1;1723/2025;2025.09.01;2;78
1680;63-300 Pleszew, Marszew, Cedrowa 3;;2019.02.01;6;234
1681;63-300 Pleszew, Marszew, Cedrowa 5;93/2024;2024.01.01;4;156
1682;63-300 PLESZEW, Marszew, Cedrowa 7;228/2024;2024.02.01;2;76
1683;63-300 PLESZEW, Marszew, Cedrowa 8;;2019.02.01;2;78
1684;63-300 PLESZEW, Marszew, Cedrowa 9;941/2024;2024.08.01;2;76
1685;63-300 PLESZEW, Marszew, Cedrowa 10;400/2025;2025.01.01;4;156
1686;63-300 Pleszew, Marszew, Cedrowa 11;;2019.02.01;3;117
1687;63-300 PLESZEW, Marszew, Cedrowa 15;1655/2021;2021.09.01;4;156
1688;63-300 PLESZEW, Marszew, Cedrowa 16;;2019.02.01;4;156
1689;63-300 PLESZEW, Marszew, Cedrowa 17;;2020.01.01;3;117
1690;63-300 Pleszew, Marszew, Cedrowa 23;;2019.02.01;4;156
1691;63-300 PLESZEW, Marszew, Cedrowa 24;;2019.02.01;4;156
1692;63-300 PLESZEW, Marszew, Cedrowa 25;;2019.02.01;4;156
1693;63-300 PLESZEW, Marszew, Cedrowa 28;;2019.02.01;3;117
1694;63-300 PLESZEW, Marszew, Cedrowa 29;;2019.02.01;4;156
1695;63-300 PLESZEW, Marszew, Cedrowa 30A;557/2024;2024.05.01;3;117
1696;63-300 Pleszew, Marszew, Cedrowa 31;;2019.02.01;4;156
1697;63-300 PLESZEW, Marszew, Cedrowa 34;;2019.02.01;4;156
1698;63-300 PLESZEW, Marszew, Cedrowa 35;;2019.02.01;3;117
1699;63-300 PLESZEW, Marszew, Cedrowa 36;1753/2020;2020.08.01;2;78
1700;63-300 PLESZEW, Marszew, Cedrowa 41;;2019.02.01;5;195
1701;63-300 Pleszew, Marszew, Cedrowa 45;1652/2023;2023.12.01;2;78
1702;63-300 PLESZEW, Marszew, Jod≥owa 2;1506/2025;2025.07.01;2;78
1703;63-300 PLESZEW, Marszew, Jod≥owa 12;447/2022;2021.11.01;4;156
1704;63-300 Pleszew, Marszew, Jod≥owa 15;1042/2024;2024.09.01;1;39
1705;63-300 Pleszew, Marszew, Jod≥owa 16;;2019.02.01;2;78
1706;63-300 Pleszew, Marszew, Jod≥owa 17;517/2023;2023.04.01;4;156
1707;63-300 PLESZEW, Marszew, Jod≥owa 18;1078/2022;2022.08.01;4;156
1708;63-300 PLESZEW, Marszew, Jod≥owa 20;3304/2020;2020.10.01;3;117
1709;63-300 PLESZEW, Marszew, Jod≥owa 115;1377/2025;2025.06.01;33;1287
1710;63-300 PLESZEW, Marszew, Konwaliowa 3;979/2024;2024.08.01;3;117
1711;63-300 PLESZEW, Marszew, Konwaliowa 7;226/2026;2026.01.01;4;156
1712;63-300 PLESZEW, Marszew, Lawendowa 3;633/2021;2021.04.01;3;117
1713;63-300 PLESZEW, Marszew, Lawendowa 4;;2019.02.01;4;156
1714;63-300 PLESZEW, Marszew, Lawendowa 5;1702/2025;2025.09.01;5;195
1715;63-300 PLESZEW, Marszew, Lawendowa 6;1110/2024;2024.09.01;3;117
1716;63-300 PLESZEW, Marszew, Lawendowa 13;921/2023;2023.07.01;2;78
1717;63-300 PLESZEW, Marszew, Lawendowa 14;1453/2022;2022.10.01;1;39
1718;63-300 PLESZEW, Marszew, Lawendowa 16;95/2023;2023.01.01;4;156
1719;63-300 PLESZEW, Marszew, Lawendowa 22;1258/2020;2020.08.01;3;117
1720;63-300 PLESZEW, Marszew, Lawendowa 25/23;903/2025;2025.03.01;4;156
1721;63-300 PLESZEW, Marszew, Magnoliowa 2;737/2024;2024.07.01;4;156
1722;63-300 PLESZEW, Marszew, Magnoliowa 3;;2019.02.01;4;156
1723;63-300 Pleszew, Marszew, Magnoliowa 7;2277/2025;2026.01.01;3;117
1724;63-300 PLESZEW, Marszew, Magnoliowa 9;;2019.06.01;4;156
1725;63-300 PLESZEW, Marszew, Magnoliowa 10;1507/2021;2021.10.01;2;78
1726;63-300 PLESZEW, Marszew, Magnoliowa 11;;2019.02.01;2;78
1727;63-300 PLESZEW, Marszew, Magnoliowa 12;409/2024;2024.04.01;4;156
1728;63-300 PLESZEW, Marszew, Magnoliowa 16;1264/2025;2025.05.01;4;156
1729;63-300 PLESZEW, Marszew, Magnoliowa 18;1028/2022;2022.08.01;3;114
1730;63-300 PLESZEW, Marszew, Magnoliowa 19;;2019.02.01;4;156
1731;63-300 PLESZEW, Marszew, Magnoliowa 20;;2019.06.01;1;39
1732;63-300 PLESZEW, Marszew, Magnoliowa 22;1461/2022;2022.10.01;2;78
1733;63-300 PLESZEW, Marszew, Magnoliowa 24;1732/2025;2025.10.01;3;117
1734;63-300 PLESZEW, Marszew, Magnoliowa 25;1214/2022;2022.09.01;1;39
1735;63-300 PLESZEW, Marszew, Magnoliowa 26;;2019.02.01;5;195
1736;63-300 PLESZEW, Marszew, Magnoliowa 27;18/2021;2021.01.01;4;156
1737;63-300 PLESZEW, Marszew, Magnoliowa 28;104/2024;2024.01.01;2;78
1738;63-300 PLESZEW, Marszew, Magnoliowa 30;125/2023;2023.01.01;3;114
1739;63-300 PLESZEW, Marszew, Magnoliowa 31;797/2022;2022.06.01;1;39
1740;63-300 PLESZEW, Marszew, Magnoliowa 32;2397/2025;2026.01.01;2;78
1741;63-300 PLESZEW, Nowa Wieú 1;1577/2025;2025.07.01;2;78
1742;63-300 PLESZEW, Nowa Wieú 1A;;2019.02.01;1;39
1743;63-300 PLESZEW, Nowa Wieú 1B;;2019.02.01;2;78
1744;63-300 PLESZEW, Nowa Wieú 1C;;2019.02.01;4;156
1745;63-300 Pleszew, Nowa Wieú 1D;;2019.02.01;3;117
1746;63-300 PLESZEW, Nowa Wieú 2;1022/2025;2025.03.01;1;39
1747;63-300 PLESZEW, Nowa Wieú 3;1816/2022;2023.01.01;8;304
1748;63-300 PLESZEW, Nowa Wieú 3/b;3134/2020;2020.10.01;2;76
1749;63-300 PLESZEW, Nowa Wieú 4;2782/2020;2020.09.01;2;78
1750;63-300 PLESZEW, Nowa Wieú 5;1746/2022;2022.12.01;2;76
1751;63-300 PLESZEW, Nowa Wieú 5A;871/2024;2024.07.01;2;78
1752;63-300 PLESZEW, Nowa Wieú 6;1395/2025;2025.06.01;4;156
1753;63-300 Pleszew, Nowa Wieú 7;4/2021;2021.01.01;3;117
1754;63-300 Pleszew, Nowa Wieú 7A;;2019.02.01;3;117
1755;63-300 Pleszew, Nowa Wieú 8;3631/2020;2020.12.01;3;117
1756;63-300 Pleszew, Nowa Wieú 9A;;2019.02.01;5;195
1757;63-300 PLESZEW, Nowa Wieú 10;1242/2025;2025.04.01;1;38
1758;63-300 PLESZEW, Nowa Wieú 12;1042/2022;2022.06.01;1;39
1759;63-300 PLESZEW, Nowa Wieú 13;695/2025;2025.01.01;3;117
1760;63-300 PLESZEW, Nowa Wieú 15;;2019.02.01;3;117
1761;63-300 PLESZEW, Nowa Wieú 16;2295/2020;2020.08.01;2;76
1762;63-300 PLESZEW, Nowa Wieú 17;281/2025;2025.01.01;7;273
1763;63-300 PLESZEW, Nowa Wieú 18;954/2021;2021.05.01;4;152
1764;63-300 PLESZEW, Nowa Wieú 18A;;2019.02.01;1;39
1765;63-300 PLESZEW, Nowa Wieú 19;;2019.02.01;3;117
1766;63-300 PLESZEW, Nowa Wieú 21;62/2023;2023.01.01;4;156
1767;63-300 Pleszew, Nowa Wieú 22;;2019.02.01;4;156
1768;63-300 Pleszew, Nowa Wieú 23;1305/2022;2022.08.01;3;117
1769;63-300 PLESZEW, Nowa Wieú 24;;2019.05.01;1;39
1770;63-300 Pleszew, Nowa Wieú 25;463/2024;2024.02.01;3;117
1771;63-300 PLESZEW, Nowa Wieú 25A;394/2025;2025.01.01;3;117
1772;63-300 PLESZEW, Nowa Wieú 26A;;2019.02.01;5;195
1773;63-300 PLESZEW, Nowa Wieú 26B;;2019.02.01;4;156
1774;63-300 PLESZEW, Nowa Wieú 27A;;2019.02.01;2;78
1775;63-300 PLESZEW, Nowa Wieú 28;;2019.02.01;4;156
1776;63-300 Pleszew, Nowa Wieú 29;1620/2025;2025.08.01;2;76
1777;63-300 Pleszew, Nowa Wieú 29A;;2019.02.01;6;234
1778;63-300 PLESZEW, Nowa Wieú 30;3249/2020;2020.10.01;1;38
1779;63-300 PLESZEW, Nowa Wieú 30A;;2019.02.01;4;156
1780;63-300 PLESZEW, Nowa Wieú 31;;2019.11.01;3;117
1781;63-300 PLESZEW, Nowa Wieú 31A;529/2021;2021.02.01;5;195
1782;63-300 Pleszew, Nowa Wieú 31B;2079/2022;2023.01.01;2;78
1783;63-300 Pleszew, Nowa Wieú 32;1692/2025;2025.09.01;2;76
1784;63-300 Pleszew, Nowa Wieú 32a;1272/2024;2024.11.01;4;156
1785;63-300 Pleszew, Nowa Wieú 33;128/2023;2023.01.01;3;114
1786;63-300 PLESZEW, Nowa Wieú 33A;1425/2023;2023.10.01;2;78
1787;63-300 PLESZEW, Nowa Wieú 34;2179/2025;2026.01.01;2;78
1788;63-300 PLESZEW, Nowa Wieú 34A;821/2024;2024.07.01;2;78
1789;63-300 PLESZEW, Nowa Wieú 35;2476/2020;2020.08.01;5;190
1790;63-300 PLESZEW, Nowa Wieú 35A;772/2025;2025.02.01;7;266
1791;63-300 PLESZEW, Nowa Wieú 36;1410/2024;2024.11.01;3;114
1792;63-300 PLESZEW, Nowa Wieú 37;2944/2020;2020.09.01;4;152
1793;63-300 PLESZEW, Nowa Wieú 37A;1146/2025;2025.03.01;3;117
1794;63-300 Pleszew, Nowa Wieú 38;1468/2022;2022.10.01;3;117
1795;63-300 PLESZEW, Nowa Wieú 38A;1684/2025;2025.08.01;2;76
1796;63-300 PLESZEW, Nowa Wieú 39;;2019.02.01;2;78
1797;63-300 PLESZEW, Nowa Wieú 40;1296/2025;2025.03.01;2;78
1798;63-300 PLESZEW, Nowa Wieú 40A;1745/2021;2021.12.01;6;228
1799;63-300 Pleszew, Nowa Wieú 41;3375/2020;2020.11.01;5;195
1800;63-300 PLESZEW, Nowa Wieú 44;2151/2020;2020.08.01;2;76
1801;63-300 PLESZEW, Nowa Wieú 45;801/2025;2025.02.01;1;39
1802;63-300 PLESZEW, Nowa Wieú 45A;;2020.07.01;4;156
1803;63-300 Pleszew, Nowa Wieú 45C;862/2025;2025.02.01;6;234
1804;63-300 Pleszew, Nowa Wieú 46;1583/2025;2025.08.01;2;78
1805;63-300 PLESZEW, Pacanowice 1A;116/2024;2024.01.01;3;117
1806;63-300 PLESZEW, Pacanowice 2;1481/2025;2025.07.01;1;39
1807;63-300 Pleszew, Pacanowice 2A;;2019.02.01;4;156
1808;63-300 PLESZEW, Pacanowice 4;;2019.02.01;6;234
1809;63-300 PLESZEW, Pacanowice 4A;;2019.02.01;4;156
1810;63-300 PLESZEW, Pacanowice 5;2875/2020;2020.09.01;5;190
1811;63-300 PLESZEW, Pacanowice 8;934/2024;2024.08.01;8;312
1812;63-300 PLESZEW, Pacanowice 9;;2020.03.01;6;234
1813;63-300 Pleszew, Pacanowice 9A;178/2023;2023.01.01;2;76
1814;63-300 PLESZEW, Pacanowice 10;27/2024;2024.01.01;6;228
1815;63-300 PLESZEW, Pacanowice 11;573/2022;2022.04.01;5;195
1816;63-300 Pleszew, Pacanowice 13;;2019.02.01;6;234
1817;63-300 Pleszew, Pacanowice 14;2542/2020;2020.08.01;6;228
1818;63-300 PLESZEW, Pacanowice 14A;;2020.01.01;1;39
1819;63-300 PLESZEW, Pacanowice 15;939/2022;2022.07.01;4;152
1820;63-300 PLESZEW, Pacanowice 17;159/2021;2021.02.01;2;76
1821;63-300 PLESZEW, Pacanowice 18;;2019.02.01;3;117
1822;63-300 PLESZEW, Pacanowice 18A;1830/2025;2025.10.01;4;156
1823;63-300 Pleszew, Pacanowice 20;;2019.02.01;7;273
1824;63-300 PLESZEW, Pacanowice 20A;;2019.08.01;1;39
1825;63-300 PLESZEW, Pacanowice 21;;2019.02.01;1;39
1826;63-300 PLESZEW, Pacanowice 22;;2019.02.01;3;117
1827;63-300 PLESZEW, Pacanowice 23;620/2024;2024.05.01;2;76
1828;63-300 PLESZEW, Pacanowice 24;547/2024;2024.04.01;2;76
1829;63-300 PLESZEW, Pacanowice 24A;;2019.02.01;3;117
1830;63-300 PLESZEW, Pacanowice 24B;;2020.01.01;2;78
1831;63-300 Pleszew, Pacanowice 25;2327/2025;2026.01.01;5;190
1832;63-300 Pleszew, Pacanowice 27;1342/2024;2024.10.01;6;234
1833;63-300 PLESZEW, Pacanowice 28;58/2025;2025.01.01;5;190
1834;63-300 PLESZEW, Pacanowice 29;1008/2024;2024.09.01;5;190
